name,result urban burnt(m^2),year,buffer type,time since fire ignited(hour(s))
1009_0200,0,2090rcp85,small,16
1009_0300,0,2090rcp85,small,17
1009_0400,0,2090rcp85,small,18
1009_0500,0,2090rcp85,small,19
1009_0600,94621.86443,2090rcp85,small,20
1009_0700,446889.9615,2090rcp85,small,21
1009_0800,696738.051,2090rcp85,small,22
1009_0900,1688466.812,2090rcp85,small,23
1009_1000,3803492.62,2090rcp85,small,24
1009_1100,3671895.421,2090rcp85,small,25
1009_1200,6572968.396,2090rcp85,small,26
1009_1300,4866813.141,2090rcp85,small,27
1009_1400,6050354.22,2090rcp85,small,28
1009_1500,8708685.745,2090rcp85,small,29
1009_1600,8025224.72,2090rcp85,small,30
1009_1700,11087618.36,2090rcp85,small,31
1009_1800,12245966.82,2090rcp85,small,32
1009_1900,15038561.83,2090rcp85,small,33
1009_2000,15462026.94,2090rcp85,small,34
1009_2100,17746212.26,2090rcp85,small,35
1009_2200,13179690.22,2090rcp85,small,36
1009_2300,20277416.74,2090rcp85,small,37
1009_2400,19276686.13,2090rcp85,small,38
1010_0100,21363914.06,2090rcp85,small,39
1010_0200,20712883.67,2090rcp85,small,40
,,,,
1009_0200,0,2090rcp85,no,16
1009_0300,0,2090rcp85,no,17
1009_0400,1207.665365,2090rcp85,no,18
1009_0500,439322.8834,2090rcp85,no,19
1009_0600,923838.9644,2090rcp85,no,20
1009_0700,1444879.628,2090rcp85,no,21
1009_0800,2581123.539,2090rcp85,no,22
1009_0900,3891387.613,2090rcp85,no,23
1009_1000,4380954.928,2090rcp85,no,24
1009_1100,6270602.68,2090rcp85,no,25
1009_1200,8976526.181,2090rcp85,no,26
1009_1300,7645846.468,2090rcp85,no,27
1009_1400,9336497.694,2090rcp85,no,28
1009_1500,12350280.92,2090rcp85,no,29
1009_1600,14888292.45,2090rcp85,no,30
1009_1700,16472115.28,2090rcp85,no,31
1009_1800,19878571.21,2090rcp85,no,32
1009_1900,20278754.52,2090rcp85,no,33
1009_2000,20922952.51,2090rcp85,no,34
1009_2100,20608486.93,2090rcp85,no,35
1009_2200,22519327.37,2090rcp85,no,36
1009_2300,22421792.7,2090rcp85,no,37
1009_2400,24602874.61,2090rcp85,no,38
1010_0100,25742419.26,2090rcp85,no,39
1010_0200,26235812.36,2090rcp85,no,40
,,,,
1009_0200,0,2090rcp85,medium,16
1009_0300,0,2090rcp85,medium,17
1009_0400,0,2090rcp85,medium,18
1009_0500,71470.30445,2090rcp85,medium,19
1009_0600,0,2090rcp85,medium,20
1009_0700,378255.5512,2090rcp85,medium,21
1009_0800,230022.4528,2090rcp85,medium,22
1009_0900,443713.6696,2090rcp85,medium,23
1009_1000,2172432.356,2090rcp85,medium,24
1009_1100,2999218.445,2090rcp85,medium,25
1009_1200,5016784.134,2090rcp85,medium,26
1009_1300,4862163.282,2090rcp85,medium,27
1009_1400,6423514.129,2090rcp85,medium,28
1009_1500,7567940.021,2090rcp85,medium,29
1009_1600,8332538.296,2090rcp85,medium,30
1009_1700,9950353.305,2090rcp85,medium,31
1009_1800,11080486.54,2090rcp85,medium,32
1009_1900,12094161.7,2090rcp85,medium,33
1009_2000,13241020.94,2090rcp85,medium,34
1009_2100,14154820.9,2090rcp85,medium,35
1009_2200,14958786.91,2090rcp85,medium,36
1009_2300,16267956.43,2090rcp85,medium,37
1009_2400,16894551.87,2090rcp85,medium,38
1010_0100,18163758.84,2090rcp85,medium,39
1010_0200,17789217.18,2090rcp85,medium,40
,,,,
1009_0200,0,2090rcp85,very large,16
1009_2400,0,2090rcp85,very large,40
,,,,
1009_0200,0,2090rcp85,large,16
1009_0300,0,2090rcp85,large,17
1009_0400,0,2090rcp85,large,18
1009_0500,0,2090rcp85,large,19
1009_0600,24.547986,2090rcp85,large,20
1009_0700,0,2090rcp85,large,21
1009_0800,0,2090rcp85,large,22
1009_0900,1409372.687,2090rcp85,large,23
1009_1000,1182809.728,2090rcp85,large,24
1009_1100,1552072.998,2090rcp85,large,25
1009_1200,2079073.056,2090rcp85,large,26
1009_1300,2915635.983,2090rcp85,large,27
1009_1400,3009841.686,2090rcp85,large,28
1009_1500,2571701.168,2090rcp85,large,29
1009_1600,3868337.361,2090rcp85,large,30
1009_1700,5324013.005,2090rcp85,large,31
1009_1800,5402900.2,2090rcp85,large,32
1009_1900,4876727.341,2090rcp85,large,33
1009_2000,6693643.653,2090rcp85,large,34
1009_2100,5061949.75,2090rcp85,large,35
1009_2200,6603561.119,2090rcp85,large,36
1009_2300,9451358.518,2090rcp85,large,37
1009_2400,7430619.391,2090rcp85,large,38
1010_0100,8881688.438,2090rcp85,large,39
1010_0200,9292002.624,2090rcp85,large,40
