,weather condition,buffer size(m),avg time arrval(min)
1,2017,0,1441.5664
2,2017,200,1565.1746
3,2017,390,1638.051
4,2017,633,1811.9126
5,2017,1280,1855.9962
6,2017,0,1546.0764
7,2017,200,1510.986
8,2017,390,1702.8835
9,2017,633,1811.3085
10,2017,1280,1809.9475
11,2017,0,1487.6595
12,2017,200,1553.1572
13,2017,390,1608.575
14,2017,633,1800.4072
15,2017,1280,1809.1414
16,rcp45,0,1448.0276
17,rcp45,200,1464.3586
18,rcp45,390,1496.8657
19,rcp45,633,1824.5518
20,rcp45,1280,1785.7837
21,rcp45,0,1449.2926
22,rcp45,200,1549.4355
23,rcp45,390,1562.5177
24,rcp45,633,1806.8616
25,rcp45,1280,1835.9099
26,rcp45,0,1418.7393
27,rcp45,200,1493.2256
28,rcp45,390,1679.68
29,rcp45,633,1791.4893
30,rcp45,1280,1784.873
31,rcp85,0,1457.6189
32,rcp85,200,1490.7375
33,rcp85,390,1537.2476
34,rcp85,633,1814.9021
35,rcp85,1280,1785.7837
36,rcp85,0,1423.548
37,rcp85,200,1459.4116
38,rcp85,390,1457.5808
39,rcp85,633,1775.4238
40,rcp85,1280,1835.9099
41,rcp85,0,1460.7523
42,rcp85,200,1463.687
43,rcp85,390,1599.5687
44,rcp85,633,1783.239
45,rcp85,1280,1784.873
