weather condition,2017,2017,rcp45,rcp45,rcp85,rcp85,2017,rcp45,rcp85,2017,rcp45,rcp85,2017,rcp45,rcp85
buffer size(m),0,633,0,633,no,633,1280,1280,1280,399,399,399,200,200,200
min time arrival,971.3846,1054.2025,,,,,,,,,,,,,
avg time arrval 1(min),1429.0867,1616.2136,1471.3939,1629.029,1470.262,1624.391,1697.02,1655.434,1658.7435,1643.2938,1582.1738,1591.9528,1436.2423,1494.9337,1539.4431
avg time arrval 2,1488.9491,1605.9058,1430.5118,1597.24,1449.0897,1595.4954,1685.9851,1679.0171,1634.0038,1683.901,1606.158,1563.3549,1548.5543,1569.6805,1504.7965
avg time arrval 3,1449.8912,1613.5731,1428.0636,1611.2701,1528.9459,1602.8065,1679.8412,1669.7977,1644.3881,1679.8412,1676.0681,1622.0785,1567.254,1527.3369,
ave ave time arrival (min),1455.975667,1611.8975,1443.3231,1612.513033,1482.765867,1607.5643,1687.615433,1668.082933,1645.7118,1669.012,1621.466633,1592.462067,1517.3502,1530.650367,1522.1198
,,,,,,,,,,,,,,,
ave fireline intensity 1,567.0992,28.865185,551.1038,12.582721,686.5161,12.598832,7.482253,10.89609,8.351534,,173.5382,208.07358,308.2248,349.40912,347.6792
ave fireline intensity 2,514.5786,22.38484,580.5924,17.673107,633.32294,18.490353,8.782038,4.2478557,7.665098,163.0831,190.29204,204.95496,276.68713,323.0345,379.2319
ave fireline intensity 3,520.86285,7.1028204,618.0473,9.808544,610.2398,8.040596,9.050657,17.656979,5.843556,145.4212,166.8447,180.78635,283.4693,336.44772,
avg avg fireline intenstiy,534.1802167,19.45094847,583.2478333,13.35479067,643.3596133,13.04326033,8.438316,10.93364157,7.286729333,154.25215,176.8916467,197.9382967,289.46041,336.2971133,363.45555
