index,weather condition,buffer size(m),min time arrival,avg time arrval 1(min),avg time arrval 2,avg time arrval 3,ave ave time arrival (min),ave fireline intensity 1,ave fireline intensity 2,ave fireline intensity 3,avg avg fireline intenstiy
1,2017,0,971.3846,1429.0867,1488.9491,1449.8912,1455.975667,567.0992,514.5786,520.86285,534.1802167
2,2017,633,1054.2025,1616.2136,1605.9058,1613.5731,1611.8975,28.865185,22.38484,7.1028204,19.45094847
3,rcp45,0,,1471.3939,1430.5118,1428.0636,1443.3231,551.1038,580.5924,618.0473,583.2478333
4,rcp45,633,,1629.029,1597.24,1611.2701,1612.513033,12.582721,17.673107,9.808544,13.35479067
5,rcp85,0,,1470.262,1449.0897,1528.9459,1482.765867,686.5161,633.32294,610.2398,643.3596133
6,rcp85,633,,1624.391,1595.4954,1602.8065,1607.5643,12.598832,18.490353,8.040596,13.04326033
7,2017,1280,,1697.02,1685.9851,1679.8412,1687.615433,7.482253,8.782038,9.050657,8.438316
8,rcp45,1280,,1655.434,1679.0171,1669.7977,1668.082933,10.89609,4.2478557,17.656979,10.93364157
9,rcp85,1280,,1658.7435,1634.0038,1644.3881,1645.7118,8.351534,7.665098,5.843556,7.286729333
10,2017,399,,1643.2938,1683.901,1679.8412,1669.012,,163.0831,145.4212,154.25215
11,rcp45,399,,1582.1738,1606.158,1676.0681,1621.466633,173.5382,190.29204,166.8447,176.8916467
12,rcp85,399,,1591.9528,1563.3549,1622.0785,1592.462067,208.07358,204.95496,180.78635,197.9382967
13,2017,200,,1436.2423,1548.5543,1567.254,1517.3502,308.2248,276.68713,283.4693,289.46041
14,rcp45,200,,1494.9337,1569.6805,1527.3369,1530.650367,349.40912,323.0345,336.44772,336.2971133
15,rcp85,200,,1539.4431,1504.7965,,1522.1198,347.6792,379.2319,,363.45555
