1611.8876,weather condition,buffer size(m),avg time arrval(min),fireline intensity(kW/m)
1,2017,0,1429.0867,567.0992
2,2017,633,1616.2136,28.865185
3,rcp45,0,1471.3939,551.1038
4,rcp45,633,1629.029,12.582721
5,rcp85,0,1470.262,686.5161
6,rcp85,633,1624.391,12.598832
7,2017,1280,1697.02,7.482253
8,rcp45,1280,1655.434,10.89609
9,rcp85,1280,1658.7435,8.351534
10,2017,390,1611.8876,179.53079
11,rcp45,390,1582.1738,173.5382
12,rcp85,390,1591.9528,208.07358
13,2017,200,1436.2423,308.2248
14,rcp45,200,1494.9337,349.40912
15,rcp85,200,1539.4431,347.6792
16,2017,0,1488.9491,514.5786
17,2017,633,1605.9058,22.38484
18,rcp45,0,1430.5118,580.5924
19,rcp45,633,1597.24,17.673107
20,rcp85,0,1449.0897,633.32294
21,rcp85,633,1595.4954,18.490353
22,2017,1280,1685.9851,8.782038
23,rcp45,1280,1679.0171,4.2478557
24,rcp85,1280,1634.0038,7.665098
25,2017,390,1683.901,163.0831
26,rcp45,390,1606.158,190.29204
27,rcp85,390,1563.3549,204.95496
28,2017,200,1548.5543,276.68713
29,rcp45,200,1569.6805,323.0345
30,rcp85,200,1504.7965,379.2319
31,2017,0,1449.8912,520.86285
32,2017,633,1613.5731,7.1028204
33,rcp45,0,1428.0636,618.0473
34,rcp45,633,1611.2701,9.808544
35,rcp85,0,1528.9459,610.2398
36,rcp85,633,1602.8065,8.040596
37,2017,1280,1679.8412,9.050657
38,rcp45,1280,1669.7977,17.656979
39,rcp85,1280,1644.3881,5.843556
40,2017,390,1679.8412,145.4212
41,rcp45,399,1676.0681,166.8447
42,rcp85,399,1622.0785,180.78635
43,2017,200,1567.254,283.4693
44,rcp45,200,1527.3369,336.44772
45,rcp85,200,1507.0422,387.3253
