name,result urban burnt(m^2),climate type,time since fire ignited(hour(s))
1009_0200,0,2090rcp45,16
1009_0300,0,2090rcp45,17
1009_0400,0,2090rcp45,18
1009_0500,11928.68563,2090rcp45,19
1009_0600,206957.2085,2090rcp45,20
1009_0700,239802.8096,2090rcp45,21
1009_0800,661826.0889,2090rcp45,22
1009_0900,2289088.012,2090rcp45,23
1009_1000,4156103.245,2090rcp45,24
1009_1100,3132856.872,2090rcp45,25
1009_1200,3791175.463,2090rcp45,26
1009_1300,7680456.648,2090rcp45,27
1009_1400,6322677.055,2090rcp45,28
1009_1500,9979065.457,2090rcp45,29
1009_1600,9939855.237,2090rcp45,30
1009_1700,12585806.82,2090rcp45,31
1009_1800,15170291.04,2090rcp45,32
1009_1900,14977141.04,2090rcp45,33
1009_2000,17368867.36,2090rcp45,34
1009_2100,18995297.75,2090rcp45,35
1009_2200,17541561.76,2090rcp45,36
1009_2300,20721115.48,2090rcp45,37
1009_2400,21646353.1,2090rcp45,38
1010_0100,21544897.17,2090rcp45,39
1010_0200,23221654.66,2090rcp45,40
,,,
1009_0200,0,2090rcp85,16
1009_0300,0,2090rcp85,17
1009_0400,1207.665365,2090rcp85,18
1009_0500,439322.8834,2090rcp85,19
1009_0600,923838.9644,2090rcp85,20
1009_0700,1444879.628,2090rcp85,21
1009_0800,2581123.539,2090rcp85,22
1009_0900,3891387.613,2090rcp85,23
1009_1000,4380954.928,2090rcp85,24
1009_1100,6270602.68,2090rcp85,25
1009_1200,8976526.181,2090rcp85,26
1009_1300,7645846.468,2090rcp85,27
1009_1400,9336497.694,2090rcp85,28
1009_1500,12350280.92,2090rcp85,29
1009_1600,14888292.45,2090rcp85,30
1009_1700,16472115.28,2090rcp85,31
1009_1800,19878571.21,2090rcp85,32
1009_1900,20278754.52,2090rcp85,33
1009_2000,20922952.51,2090rcp85,34
1009_2100,20608486.93,2090rcp85,35
1009_2200,22519327.37,2090rcp85,36
1009_2300,22421792.7,2090rcp85,37
1009_2400,24602874.61,2090rcp85,38
1010_0100,25742419.26,2090rcp85,39
1010_0200,26235812.36,2090rcp85,40
,,,
Tubbs_urban_to_TL2_1009_0200,0,2017,16
Tubbs_urban_to_TL2_1009_0300,0,2017,17
Tubbs_urban_to_TL2_1009_0400,0,2017,18
Tubbs_urban_to_TL2_1009_0500,296380.9913,2017,19
Tubbs_urban_to_TL2_1009_0600,31077.1463,2017,20
Tubbs_urban_to_TL2_1009_0700,50184.85772,2017,21
Tubbs_urban_to_TL2_1009_0900,47457.0347,2017,23
Tubbs_urban_to_TL2_1009_1000,784650.8039,2017,24
Tubbs_urban_to_TL2_1009_1100,3071837.046,2017,25
Tubbs_urban_to_TL2_1009_1200,3417863.502,2017,26
Tubbs_urban_to_TL2_1009_1300,4335341.032,2017,27
Tubbs_urban_to_TL2_1009_1400,3932914.123,2017,28
Tubbs_urban_to_TL2_1009_1500,4491833.602,2017,29
Tubbs_urban_to_TL2_1009_1600,6427412.466,2017,30
Tubbs_urban_to_TL2_1009_1700,7224120.671,2017,31
Tubbs_urban_to_TL2_1009_1800,9816861.377,2017,32
Tubbs_urban_to_TL2_1009_1900,,2017,33
Tubbs_urban_to_TL2_1009_2000,11086956.83,2017,34
Tubbs_urban_to_TL2_1009_2100,12202957.59,2017,35
Tubbs_urban_to_TL2_1009_2200,14727384.26,2017,36
Tubbs_urban_to_TL2_1009_2300,16741742.79,2017,37
Tubbs_urban_to_TL2_1010_0000,15887402.09,2017,38
Tubbs_urban_to_TL2_1010_0100,15671661.91,2017,39
Tubbs_urban_to_TL2_1010_0200,18259466.74,2017,40
