name,Urban area burned (square meters),year,Buffer type,Time since fire ignition (hours)
1009_0200,0,2090rcp85,RCP85 baseline,17
1009_0300,0,2090rcp85,RCP85 baseline,17
1009_0400,1207.665365,2090rcp85,RCP85 baseline,17
1009_0500,439322.8834,2090rcp85,RCP85 baseline,20
1009_0600,923838.9644,2090rcp85,RCP85 baseline,20
1009_0700,1444879.628,2090rcp85,RCP85 baseline,20
1009_0800,2581123.539,2090rcp85,RCP85 baseline,23
1009_0900,3891387.613,2090rcp85,RCP85 baseline,23
1009_1000,4380954.928,2090rcp85,RCP85 baseline,23
1009_1100,6270602.68,2090rcp85,RCP85 baseline,26
1009_1200,8976526.181,2090rcp85,RCP85 baseline,26
1009_1300,7645846.468,2090rcp85,RCP85 baseline,26
1009_1400,9336497.694,2090rcp85,RCP85 baseline,29
1009_1500,12350280.92,2090rcp85,RCP85 baseline,29
1009_1600,14888292.45,2090rcp85,RCP85 baseline,29
1009_1700,16472115.28,2090rcp85,RCP85 baseline,32
1009_1800,19878571.21,2090rcp85,RCP85 baseline,32
1009_1900,20278754.52,2090rcp85,RCP85 baseline,32
1009_2000,20922952.51,2090rcp85,RCP85 baseline,35
1009_2100,20608486.93,2090rcp85,RCP85 baseline,35
1009_2200,22519327.37,2090rcp85,RCP85 baseline,35
1009_2300,22421792.7,2090rcp85,RCP85 baseline,38
1009_2400,24602874.61,2090rcp85,RCP85 baseline,38
1010_0100,25742419.26,2090rcp85,RCP85 baseline,38
,,,,
1009_0200,0,2090rcp85,Banana small,17
1009_0300,0,2090rcp85,Banana small,17
1009_0400,0,2090rcp85,Banana small,17
1009_0500,0,2090rcp85,Banana small,20
1009_0600,94621.86443,2090rcp85,Banana small,20
1009_0700,446889.9615,2090rcp85,Banana small,20
1009_0800,696738.051,2090rcp85,Banana small,23
1009_0900,1688466.812,2090rcp85,Banana small,23
1009_1000,3803492.62,2090rcp85,Banana small,23
1009_1100,3671895.421,2090rcp85,Banana small,26
1009_1200,6572968.396,2090rcp85,Banana small,26
1009_1300,4866813.141,2090rcp85,Banana small,26
1009_1400,6050354.22,2090rcp85,Banana small,29
1009_1500,8708685.745,2090rcp85,Banana small,29
1009_1600,8025224.72,2090rcp85,Banana small,29
1009_1700,11087618.36,2090rcp85,Banana small,32
1009_1800,12245966.82,2090rcp85,Banana small,32
1009_1900,15038561.83,2090rcp85,Banana small,32
1009_2000,15462026.94,2090rcp85,Banana small,35
1009_2100,17746212.26,2090rcp85,Banana small,35
1009_2200,13179690.22,2090rcp85,Banana small,35
1009_2300,20277416.74,2090rcp85,Banana small,38
1009_2400,19276686.13,2090rcp85,Banana small,38
1010_0100,21363914.06,2090rcp85,Banana small,38
,,,,
1009_0200,0,2090rcp85,Banana medium,17
1009_0300,0,2090rcp85,Banana medium,17
1009_0400,0,2090rcp85,Banana medium,17
1009_0500,71470.30445,2090rcp85,Banana medium,20
1009_0600,0,2090rcp85,Banana medium,20
1009_0700,378255.5512,2090rcp85,Banana medium,20
1009_0800,230022.4528,2090rcp85,Banana medium,23
1009_0900,443713.6696,2090rcp85,Banana medium,23
1009_1000,2172432.356,2090rcp85,Banana medium,23
1009_1100,2999218.445,2090rcp85,Banana medium,26
1009_1200,5016784.134,2090rcp85,Banana medium,26
1009_1300,4862163.282,2090rcp85,Banana medium,26
1009_1400,6423514.129,2090rcp85,Banana medium,29
1009_1500,7567940.021,2090rcp85,Banana medium,29
1009_1600,8332538.296,2090rcp85,Banana medium,29
1009_1700,9950353.305,2090rcp85,Banana medium,32
1009_1800,11080486.54,2090rcp85,Banana medium,32
1009_1900,12094161.7,2090rcp85,Banana medium,32
1009_2000,13241020.94,2090rcp85,Banana medium,35
1009_2100,14154820.9,2090rcp85,Banana medium,35
1009_2200,14958786.91,2090rcp85,Banana medium,35
1009_2300,16267956.43,2090rcp85,Banana medium,38
1009_2400,16894551.87,2090rcp85,Banana medium,38
1010_0100,18163758.84,2090rcp85,Banana medium,38
,,,,
1009_0200,0,2090rcp85,Banana large,17
1009_0300,0,2090rcp85,Banana large,17
