name,Urban area burned (square meters),Buffer type,Time since fire ignition (hours)
Tubbs_urban_to_TL2_1009_0600,31077.1463,Baseline,21
Tubbs_urban_to_TL2_1009_0700,50184.85772,Baseline,21
Tubbs_urban_to_TL2_1009_0800,,Baseline,21
Tubbs_urban_to_TL2_1009_0900,47457.0347,Baseline,24
Tubbs_urban_to_TL2_1009_1000,784650.8039,Baseline,24
Tubbs_urban_to_TL2_1009_1100,3071837.046,Baseline,24
Tubbs_urban_to_TL2_1009_1200,3417863.502,Baseline,27
Tubbs_urban_to_TL2_1009_1300,4335341.032,Baseline,27
Tubbs_urban_to_TL2_1009_1400,3932914.123,Baseline,27
Tubbs_urban_to_TL2_1009_1500,4491833.602,Baseline,30
Tubbs_urban_to_TL2_1009_1600,6427412.466,Baseline,30
Tubbs_urban_to_TL2_1009_1700,7224120.671,Baseline,30
Tubbs_urban_to_TL2_1009_1800,9816861.377,Baseline,33
Tubbs_urban_to_TL2_1009_1900,,Baseline,33
Tubbs_urban_to_TL2_1009_2000,11086956.83,Baseline,33
Tubbs_urban_to_TL2_1009_2100,12202957.59,Baseline,36
Tubbs_urban_to_TL2_1009_2200,14727384.26,Baseline,36
Tubbs_urban_to_TL2_1009_2300,16741742.79,Baseline,36
Tubbs_urban_to_TL2_1010_0000,15887402.09,Baseline,39
Tubbs_urban_to_TL2_1010_0100,15671661.91,Baseline,39
Tubbs_urban_to_TL2_1010_0200,18259466.74,Baseline,39
,,,
Tubbs_urban_to_TL2_NB3_buffer390_1009_0600,23304.68791,NB3 small,21
Tubbs_urban_to_TL2_NB3_buffer390_1009_0700,74780.91577,NB3 small,21
Tubbs_urban_to_TL2_NB3_buffer390_1009_0800,298330.9342,NB3 small,21
Tubbs_urban_to_TL2_NB3_buffer390_1009_0900,160568.53,NB3 small,24
Tubbs_urban_to_TL2_NB3_buffer390_1009_1000,654152.1596,NB3 small,24
Tubbs_urban_to_TL2_NB3_buffer390_1009_1100,2071262.982,NB3 small,24
Tubbs_urban_to_TL2_NB3_buffer390_1009_1200,3833341.392,NB3 small,27
Tubbs_urban_to_TL2_NB3_buffer390_1009_1300,4150381.747,NB3 small,27
Tubbs_urban_to_TL2_NB3_buffer390_1009_1400,5324065.482,NB3 small,27
Tubbs_urban_to_TL2_NB3_buffer390_1009_1500,4900615.783,NB3 small,30
Tubbs_urban_to_TL2_NB3_buffer390_1009_1600,5217989.24,NB3 small,30
