name,result urban burnt(m^2),buffer size,time since fire ignited(hour(s))
Tubbs_urban_to_TL2_1009_0600,31077.1463,no,20
Tubbs_urban_to_TL2_1009_0700,50184.85772,no,21
Tubbs_urban_to_TL2_1009_0800,,no,22
Tubbs_urban_to_TL2_1009_0900,47457.0347,no,23
Tubbs_urban_to_TL2_1009_1000,784650.8039,no,24
Tubbs_urban_to_TL2_1009_1100,3071837.046,no,25
Tubbs_urban_to_TL2_1009_1200,3417863.502,no,26
Tubbs_urban_to_TL2_1009_1300,4335341.032,no,27
Tubbs_urban_to_TL2_1009_1400,3932914.123,no,28
Tubbs_urban_to_TL2_1009_1500,4491833.602,no,29
Tubbs_urban_to_TL2_1009_1600,6427412.466,no,30
Tubbs_urban_to_TL2_1009_1700,7224120.671,no,31
Tubbs_urban_to_TL2_1009_1800,9816861.377,no,32
Tubbs_urban_to_TL2_1009_1900,,no,33
Tubbs_urban_to_TL2_1009_2000,11086956.83,no,34
Tubbs_urban_to_TL2_1009_2100,12202957.59,no,35
Tubbs_urban_to_TL2_1009_2200,14727384.26,no,36
Tubbs_urban_to_TL2_1009_2300,16741742.79,no,37
Tubbs_urban_to_TL2_1010_0000,15887402.09,no,38
Tubbs_urban_to_TL2_1010_0100,15671661.91,no,39
Tubbs_urban_to_TL2_1010_0200,18259466.74,no,40
Tubbs_urban_to_TL2_banana_buffer200_1009_0600,44947.11788,very small,20
Tubbs_urban_to_TL2_banana_buffer200_1009_0700,127877.6853,very small,21
Tubbs_urban_to_TL2_banana_buffer200_1009_0800,80646.28828,very small,22
Tubbs_urban_to_TL2_banana_buffer200_1009_0900,121683.617,very small,23
Tubbs_urban_to_TL2_banana_buffer200_1009_1000,266261.4135,very small,24
Tubbs_urban_to_TL2_banana_buffer200_1009_1100,2456666.4,very small,25
Tubbs_urban_to_TL2_banana_buffer200_1009_1200,1564217.096,very small,26
Tubbs_urban_to_TL2_banana_buffer200_1009_1300,2179387.231,very small,27
Tubbs_urban_to_TL2_banana_buffer200_1009_1400,5659572.55,very small,29
Tubbs_urban_to_TL2_banana_buffer200_1009_1500,3113588.519,very small,28
Tubbs_urban_to_TL2_banana_buffer200_1009_1600,5949982.962,very small,30
Tubbs_urban_to_TL2_banana_buffer200_1009_1700,7405348.187,very small,31
Tubbs_urban_to_TL2_banana_buffer200_1009_1800,7571058.995,very small,32
Tubbs_urban_to_TL2_banana_buffer200_1009_1900,8992336.743,very small,33
Tubbs_urban_to_TL2_banana_buffer200_1009_2000,7278927.338,very small,34
Tubbs_urban_to_TL2_banana_buffer200_1009_2100,8557750.534,very small,35
Tubbs_urban_to_TL2_banana_buffer200_1009_2200,13561913.22,very small,36
Tubbs_urban_to_TL2_banana_buffer200_1009_2300,12649496.74,very small,37
Tubbs_urban_to_TL2_banana_buffer200_1009_2400,15737313.63,very small,38
Tubbs_urban_to_TL2_banana_buffer200_1010_0100,16701998.66,very small,39
Tubbs_urban_to_TL2_banana_buffer200_1010_0200,13284162.1,very small,40
Tubbs_urban_to_TL2_banana_buffer390_1009_0600,631.118018,small,20
Tubbs_urban_to_TL2_banana_buffer390_1009_0700,246049.9447,small,21
Tubbs_urban_to_TL2_banana_buffer390_1009_0800,390261.257,small,22
Tubbs_urban_to_TL2_banana_buffer390_1009_0900,1379428.43,small,23
Tubbs_urban_to_TL2_banana_buffer390_1009_1000,1308870.11,small,24
Tubbs_urban_to_TL2_banana_buffer390_1009_1100,1153927.828,small,25
Tubbs_urban_to_TL2_banana_buffer390_1009_1200,718149.4773,small,26
Tubbs_urban_to_TL2_banana_buffer390_1009_1300,3187928.415,small,27
Tubbs_urban_to_TL2_banana_buffer390_1009_1400,3427642.134,small,28
Tubbs_urban_to_TL2_banana_buffer390_1009_1500,3322394.998,small,29
Tubbs_urban_to_TL2_banana_buffer390_1009_1600,6895899.06,small,30
Tubbs_urban_to_TL2_banana_buffer390_1009_1700,6941269.872,small,31
Tubbs_urban_to_TL2_banana_buffer390_1009_1800,3811900.52,small,32
Tubbs_urban_to_TL2_banana_buffer390_1009_1900,7052571.939,small,33
Tubbs_urban_to_TL2_banana_buffer390_1009_2000,9132947.636,small,34
Tubbs_urban_to_TL2_banana_buffer390_1009_2100,8206265.561,small,35
Tubbs_urban_to_TL2_banana_buffer390_1009_2200,11500239.24,small,36
Tubbs_urban_to_TL2_banana_buffer390_1009_2300,8631254.313,small,37
Tubbs_urban_to_TL2_banana_buffer390_1009_2400,14928900.7,small,38
Tubbs_urban_to_TL2_banana_buffer390_1010_0100,11532986.95,small,39
Tubbs_urban_to_TL2_banana_buffer390_1010_0200,15019325.44,small,40
Tubbs_urban_to_TL2_banana_buffer633_1009_0600,3810.25609,medium,20
Tubbs_urban_to_TL2_banana_buffer633_1009_0700,0,medium,21
Tubbs_urban_to_TL2_banana_buffer633_1009_0800,0,medium,22
Tubbs_urban_to_TL2_banana_buffer633_1009_0900,797.664131,medium,23
Tubbs_urban_to_TL2_banana_buffer633_1009_1000,16903.98654,medium,24
Tubbs_urban_to_TL2_banana_buffer633_1009_1100,1079780.635,medium,25
Tubbs_urban_to_TL2_banana_buffer633_1009_1200,169630.6759,medium,26
Tubbs_urban_to_TL2_banana_buffer633_1009_1300,1818232.562,medium,27
Tubbs_urban_to_TL2_banana_buffer633_1009_1400,2539610.658,medium,28
Tubbs_urban_to_TL2_banana_buffer633_1009_1500,3074857.974,medium,29
Tubbs_urban_to_TL2_banana_buffer633_1009_1600,4153742.089,medium,30
Tubbs_urban_to_TL2_banana_buffer633_1009_1700,4792513.759,medium,31
Tubbs_urban_to_TL2_banana_buffer633_1009_1800,3640787.739,medium,32
Tubbs_urban_to_TL2_banana_buffer633_1009_1900,3678193.42,medium,33
Tubbs_urban_to_TL2_banana_buffer633_1009_2000,4726541.314,medium,34
Tubbs_urban_to_TL2_banana_buffer633_1009_2100,4337471.247,medium,35
Tubbs_urban_to_TL2_banana_buffer633_1009_2200,6029744.673,medium,36
Tubbs_urban_to_TL2_banana_buffer633_1009_2300,10258628.62,medium,37
Tubbs_urban_to_TL2_banana_buffer633_1009_2400,9523822.557,medium,38
Tubbs_urban_to_TL2_banana_buffer633_1010_0100,6414253.209,medium,39
Tubbs_urban_to_TL2_banana_buffer633_1010_0200,7322580.143,medium,40
Tubbs_urban_to_TL2_banana_buffer1280_1009_0600,0,very large,20
Tubbs_urban_to_TL2_banana_buffer1280_1010_0200,0,very large,40
