Tubss,Lon,Lat,Model,Month,tmax_RCP85,tmin_RCP85
CP1,-122.9,38.4,Mean,Jan,17.28750014,7.087499976
CP2,-122.5,38.6,Mean,Jan,16.16249991,7.1875
CP3,-122.9,38.4,Mean,Jan,17.28750014,7.087499976
CP4,-122.5,38.7,Mean,Jan,16.56249976,6.550000012
CP5,-122.720306,38.44466,Mean,Jan,18.52499986,7.62500006
CP1,-122.9,38.4,Mean,Feb,19.75000024,8.199999988
CP2,-122.5,38.6,Mean,Feb,17.28749991,7.299999893
CP3,-122.9,38.4,Mean,Feb,19.75000024,8.199999988
CP4,-122.5,38.7,Mean,Feb,18.32500005,7.175000072
CP5,-122.720306,38.44466,Mean,Feb,21.25000048,9.037500083
CP1,-122.9,38.4,Mean,March,20.875,8.787499905
CP2,-122.5,38.6,Mean,March,18.69999957,7.462499976
CP3,-122.9,38.4,Mean,March,20.875,8.787499905
CP4,-122.5,38.7,Mean,March,20.14999962,7.962500036
CP5,-122.720306,38.44466,Mean,March,22.38750005,9.637500167
CP1,-122.9,38.4,Mean,April,23.58749986,9.199999929
CP2,-122.5,38.6,Mean,April,22.28749991,8.43750006
CP3,-122.9,38.4,Mean,April,23.58749986,9.199999929
CP4,-122.5,38.7,Mean,April,23.875,9.025000095
CP5,-122.720306,38.44466,Mean,April,25.42499995,10.14999998
CP1,-122.9,38.4,Mean,May,26.82499981,11.28749979
CP2,-122.5,38.6,Mean,May,27.27499986,11.57500017
CP3,-122.9,38.4,Mean,May,26.82499981,11.28749979
CP4,-122.5,38.7,Mean,May,28.95000052,12.38749993
CP5,-122.720306,38.44466,Mean,May,29.33749986,12.6500001
CP1,-122.9,38.4,Mean,June,30.02499986,13.58749998
CP2,-122.5,38.6,Mean,June,31.90000034,15.05000019
CP3,-122.9,38.4,Mean,June,30.02499986,13.58749998
CP4,-122.5,38.7,Mean,June,33.85000038,15.92500019
CP5,-122.720306,38.44466,Mean,June,33.0625,15.47500002
CP1,-122.9,38.4,Mean,July,31.89999986,14.85000014
CP2,-122.5,38.6,Mean,July,35.42499971,17.91249991
CP3,-122.9,38.4,Mean,July,31.89999986,14.85000014
CP4,-122.5,38.7,Mean,July,37.47499991,18.57500005
CP5,-122.720306,38.44466,Mean,July,34.82500077,16.64999998
CP1,-122.9,38.4,Mean,August,32.32499957,15.89999998
CP2,-122.5,38.6,Mean,August,35.89999914,18.5250001
CP3,-122.9,38.4,Mean,August,32.32499957,15.89999998
CP4,-122.5,38.7,Mean,August,37.72499991,18.84999991
CP5,-122.720306,38.44466,Mean,August,34.95000076,17.43750012
CP1,-122.9,38.4,Mean,September,32.48749948,15.5
CP2,-122.5,38.6,Mean,September,34.1500001,17.625
CP3,-122.9,38.4,Mean,September,32.48749948,15.5
CP4,-122.5,38.7,Mean,September,35.62499952,17.58749986
CP5,-122.720306,38.44466,Mean,September,34.79999971,16.98749995
CP1,-122.9,38.4,Mean,October,30.10000014,13.16250002
CP2,-122.5,38.6,Mean,October,29.88749981,14.68750012
CP3,-122.9,38.4,Mean,October,30.10000014,13.16250002
CP4,-122.5,38.7,Mean,October,30.97500014,14.20000005
CP5,-122.720306,38.44466,Mean,October,31.8375001,14.12500012
CP1,-122.9,38.4,Mean,November,23.06249976,9.562499881
CP2,-122.5,38.6,Mean,November,21.23749972,9.700000048
CP3,-122.9,38.4,Mean,November,23.06249976,9.562499881
CP4,-122.5,38.7,Mean,November,22.02500033,9.200000048
CP5,-122.720306,38.44466,Mean,November,24.03749991,10.01250005
CP1,-122.9,38.4,Mean,December,18.0250001,6.949999988
CP2,-122.5,38.6,Mean,December,16.57500029,6.975000083
CP3,-122.9,38.4,Mean,December,18.0250001,6.949999988
CP4,-122.5,38.7,Mean,December,16.92499995,6.262499988
CP5,-122.720306,38.44466,Mean,December,19.03749991,7.300000012
